study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,Instructions_study.started,Instructions_study.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,study word,study_text.started,slider.started,slider.response,slider.rt,instructions_test.started,instructions_test.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,test_phase.started,test word,reference,word condition,test_text.started,response.started,submit.started,test_phase.stopped,correct,response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.012536,9.666752125,space,9.60441525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
0,0,0,0,,,,,9.734248625,,,,,,,book,9.734248625,9.734248625,4.973333333,3.635577583,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
1,0,1,0,,,,,13.34673554,,,,,,,cushion,13.34673554,13.34673554,4.973333333,2.042411208,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
2,0,2,0,,,,,15.405893,,,,,,,phone,15.405893,15.405893,4.973333333,2.63259725,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
3,0,3,0,,,,,18.05580792,,,,,,,marble,18.05580792,18.05580792,4.973333333,1.038228333,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
4,0,4,0,,,,,19.10972642,,,,,,,board,19.10972642,19.10972642,4.973333333,1.901001583,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
5,0,5,0,,,,,21.02734288,,,,,,,laptop,21.02734288,21.02734288,4.973333333,0.817857375,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
6,0,6,0,,,,,21.86093,,,,,,,chart,21.86093,21.86093,4.973333333,0.794192,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
7,0,7,0,,,,,22.67161171,,,,,,,t-shirt,22.67161171,22.67161171,4.973333333,0.82321075,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
8,0,8,0,,,,,23.50967767,,,,,,,mouse,23.50967767,23.50967767,4.973333333,0.69607825,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
9,0,9,0,,,,,24.22332367,,,,,,,pastry,24.22332367,24.22332367,4.973333333,0.798951792,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
10,0,10,0,,,,,25.03695875,,,,,,,case,25.03695875,25.03695875,4.973333333,1.118351292,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
11,0,11,0,,,,,26.17264804,,,,,,,cruise,26.17264804,26.17264804,4.973333333,1.350763208,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
12,0,12,0,,,,,27.539139,,,,,,,police,27.539139,27.539139,4.973333333,0.683888417,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
13,0,13,0,,,,,28.23874321,,,,,,,keys,28.23874321,28.23874321,4.973333333,1.02302325,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
14,0,14,0,,,,,29.2776725,,,,,,,poster,29.2776725,29.2776725,4.973333333,1.869668375,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
15,0,15,0,,,,,31.16258967,,,,,,,arsenal,31.16258967,31.16258967,4.973333333,0.7760375,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
16,0,16,0,,,,,31.95486996,,,,,,,tennis,31.95486996,31.95486996,4.973333333,0.767735542,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
17,0,17,0,,,,,32.73956,,,,,,,danger,32.73956,32.73956,4.973333333,0.716652625,,,,,,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,,,,,,,,,,,,,,,,,33.45671725,51.18008783,space,17.70997442,None,,,,,,,,,,,,,,,,,,kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,0,0,0,0,51.2126495,,,,,,,,,,,,,,,,,51.18137146,l_pt_p,laptop,old,51.2126495,51.2126495,51.2126495,58.69749213,TRUE," laptop
 ",[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[7.510889417004364],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,1,0,1,0,58.71039229,,,,,,,,,,,,,,,,,58.69885804,c_a_t,chart,old,58.71039229,58.71039229,58.71039229,63.11368912,FALSE,cat,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[4.41272808299982],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,2,0,2,0,63.125766,,,,,,,,,,,,,,,,,63.11452917,t_hi_t,tshirt,old,63.125766,63.125766,63.125766,69.61407983,TRUE,tshirt,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[6.497433791999356],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,3,0,3,0,69.62554196,,,,,,,,,,,,,,,,,69.61491217,_o_se,mouse,old,69.62554196,69.62554196,69.62554196,74.36390446,TRUE,mouse,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[4.746797084000718],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,4,0,4,0,74.37589812,,,,,,,,,,,,,,,,,74.36474383,p_st_y,pastry,old,74.37589812,74.37589812,74.37589812,78.13124629,TRUE,pastry,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[3.764448417001404],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,5,0,5,0,78.14297375,,,,,,,,,,,,,,,,,78.13213142,c_ui_e,cruise,old,78.14297375,78.14297375,78.14297375,81.76401267,TRUE,cruise,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[3.6297812499979045],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,6,0,6,0,81.77538733,,,,,,,,,,,,,,,,,81.76491221,p_li_e,police,old,81.77538733,81.77538733,81.77538733,84.91481437,TRUE,police,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[3.1478289169972413],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,7,0,7,0,84.92592125,,,,,,,,,,,,,,,,,84.91565117,k_y_,keys,old,84.92592125,84.92592125,84.92592125,88.19786925,TRUE,keys,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[3.2803267920025974],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,8,0,8,0,88.20980842,,,,,,,,,,,,,,,,,88.19873237,bo_r_,board,old,88.20980842,88.20980842,88.20980842,98.20606617,FALSE,bo,[],[],[],[],[],[],[],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,9,0,9,0,98.22258875,,,,,,,,,,,,,,,,,98.20693712,_l_,old,old,98.22258875,98.22258875,98.22258875,104.3816561,FALSE,tit,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[6.172640708995459],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,10,0,10,0,104.3933134,,,,,,,,,,,,,,,,,104.3824937,m_rbl_,marble,old,104.3933134,104.3933134,104.3933134,107.8648854,TRUE,marble,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[3.480332790997636],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,11,0,11,0,107.8762522,,,,,,,,,,,,,,,,,107.8657291,p_on_,phone,old,107.8762522,107.8762522,107.8762522,113.048497,TRUE,phone,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[5.180771375002223],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,12,0,12,0,113.0602861,,,,,,,,,,,,,,,,,113.0493324,_oo_,book,old,113.0602861,113.0602861,113.0602861,117.9321415,FALSE,boob,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[4.880940167000517],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
,,,,13,0,13,0,117.9437506,,,,,,,,,,,,,,,,,117.9330222,_en,pen,new,117.9437506,117.9437506,117.9437506,121.666043,TRUE,pen,[-0.01888888888888889],[-0.3022222222222222],[1],[0],[0],[3.731074040995736],['submit'],kathan,1,2023-10-05_11h10.44.271,word_priming_task,2023.2.2,120.3060576,2023-10-05 11h10.50.986696 +0530
